time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
510700,2016-09-15 17:51:19,41.2944871526276,-72.96442396355,0,Available with any HD 360 subscription,Available with any HD 360 subscription,156.75737968815,0,0,0,0,10,0,0,156.75737968815,0,0,0,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,"Home Point Recorded"
510800,2016-09-15 17:51:19,41.2944873623452,-72.9644238005956,0,,,156.75737968815,0,0,0.088600068452,0.088600068452,10,0,0,156.75737968815,0,0,0.088600068452,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
510900,2016-09-15 17:51:19,41.2944873672593,-72.96442377003,0,,,156.75737968815,0,0,0.094584648696,0.097168310196,10,0,0,156.75737968815,0,0,0.094584648696,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511000,2016-09-15 17:51:19,41.2944874675175,-72.9644236710895,0,,,156.75737968815,0,0,0.140093836504,0.142705385144,10,0,0,156.75737968815,0,0,0.140093836504,0,0,0,164.7, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511100,2016-09-15 17:51:19,41.2944874680316,-72.9644236713147,0,,,156.75737968815,0,0,0.140212602912,0.142902891712,10,0,0,156.75737968815,0,0,0.140212602912,0,0,0,164.7, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511200,2016-09-15 17:51:19,41.2944876687458,-72.9644235715788,0,,,156.75737968815,0,0,0.216803812712,0.221070217048,10,0,0,156.75737968815,0,0,0.216803812712,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511300,2016-09-15 17:51:19,41.2944876510313,-72.9644235726548,0,,,156.75737968815,0,0,0.2110646393,0.227540033528,10,0,0,156.75737968815,0,0,0.216803812712,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511400,2016-09-15 17:51:19,41.294487751996,-72.9644234734493,0,,,156.75737968815,0,0,0.256650926848,0.273327764652,10,0,0,156.75737968815,0,0,0.256650926848,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511500,2016-09-15 17:51:20,41.2944877528976,-72.9644234744721,0,,,156.75737968815,0,0,0.25678478512,0.27375985128,10,0,0,156.75737968815,0,0,0.25678478512,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0,109.31,156.75737968815,0,6,P-GPS,
511600,2016-09-15 17:51:20,41.2944879567739,-72.9644233729523,0,,,156.75737968815,0,0,0.33509515508,0.35317914516,10,0,15.255,156.75737968815,0,0,0.33509515508,0,0,0,164.8, -1.9, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,164.6,-14.9,0,40,3.812,3.817,3.811,3.814,0,0,0.575,109.31,156.75737968815,0,6,P-GPS,
